time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2014-05-26T22:27:03.000Z,38.7937,-122.8115,3.5,1.1,Md,24,68.4,0.00898315,0.03,nc,nc72227566,2014-05-26T23:53:04.867Z,"5km WNW of The Geysers, California",earthquake
2014-05-26T22:06:53.300Z,37.802,-122.203,9.4,1,Md,9,140.4,0.02694946,0.03,nc,nc72227556,2014-05-26T23:23:09.717Z,"3km SE of Piedmont, California",earthquake
2014-05-26T21:49:39.000Z,63.0122,-149.6658,78.9,0.6,ml,,,,0.35,ak,ak11273899,2014-05-26T22:12:10.917Z,"55km SW of Cantwell, Alaska",earthquake
2014-05-26T21:45:19.000Z,61.1743,-149.3055,15.3,1.3,ml,,,,1.18,ak,ak11273898,2014-05-26T21:58:30.646Z,"32km E of Anchorage, Alaska",earthquake
2014-05-26T21:36:29.030Z,35.4813333,-118.3068333,6.9,1.22,ml,14,253,0.1466,0.21,ci,ci15505713,2014-05-26T21:40:14.920Z,"20km S of Weldon, California",earthquake
2014-05-26T21:33:46.990Z,49.0143,-67.8377,17.24,3.2,mb_lg,,99,2.097,1.3,us,usb000r55f,2014-05-27T11:31:49.979Z,"31km SE of Baie-Comeau, Canada",earthquake
2014-05-26T21:28:39.000Z,40.2421,25.1388,10,4.1,mb,,38,2.035,0.85,us,usb000r4mk,2014-05-27T05:31:08.384Z,"38km SW of Kamariotissa, Greece",earthquake
2014-05-26T21:23:12.100Z,19.311,-155.2545,1,2.4,Ml,,97.2,0.04491576,0.24,hv,hv60701956,2014-05-27T05:25:46.767Z,"13km S of Volcano, Hawaii",earthquake
2014-05-26T21:22:58.120Z,34.1208333,-118.5,9.7,1.34,ml,10,160,0.04006,0.12,ci,ci15505697,2014-05-26T21:27:20.010Z,"9km NW of Westwood, California",earthquake
2014-05-26T20:59:43.000Z,61.1847,-146.9864,4.7,1.4,ml,,,,0.42,ak,ak11273895,2014-05-26T21:13:14.037Z,"34km W of Valdez, Alaska",earthquake
2014-05-26T20:54:48.900Z,36.1257,-116.7445,7.48,0.84,ml,6,307.81,0.369,,nn,nn00447430,2014-05-26T20:56:29.000Z,"69km W of Pahrump, Nevada",earthquake
2014-05-26T20:46:32.000Z,60.0864,-148.6872,0.1,1.6,ml,,,,0.62,ak,ak11273893,2014-05-26T21:00:16.079Z,"40km ESE of Bear Creek, Alaska",earthquake
2014-05-26T20:44:44.000Z,64.1875,-150.8871,0.1,1.7,ml,,,,0.82,ak,ak11273889,2014-05-26T21:00:14.885Z,"91km S of Manley Hot Springs, Alaska",earthquake
2014-05-26T20:11:38.000Z,61.6273,-148.1804,16.2,0.9,ml,,,,0.53,ak,ak11273852,2014-05-26T20:43:48.271Z,"40km E of Lazy Mountain, Alaska",earthquake
2014-05-26T20:00:25.100Z,45.3263,-121.6863,8,0.4,Md,,144,0.01796631,0.07,uw,uw60784702,2014-05-27T03:38:35.029Z,"23km E of Mount Hood Village, Oregon",earthquake
2014-05-26T19:43:15.540Z,42.1144,-29.2821,13.76,5.2,mb,,28,3.48,0.75,us,usb000r4i9,2014-05-27T03:46:49.686Z,"Azores Islands region",earthquake
2014-05-26T19:39:54.000Z,60.3577,-141.7193,6.3,1.2,ml,,,,1.08,ak,ak11273829,2014-05-26T19:57:05.210Z,"51km NE of Cape Yakataga, Alaska",earthquake
2014-05-26T19:39:31.300Z,38.7007,-117.0427,0.09,1.52,ml,14,171.27,0.884,,nn,nn00447428,2014-05-26T19:42:36.000Z,"72km NNE of Tonopah, Nevada",earthquake
2014-05-26T19:20:25.000Z,63.2564,-151.0129,0,1.5,ml,19,64.7999948160004,,0.68,ak,ak11273821,2014-05-26T19:51:53.685Z,"104km W of Cantwell, Alaska",earthquake
2014-05-26T18:56:36.700Z,19.427,-155.6137,2.2,1.9,Ml,,86.4,0.02694946,0.39,hv,hv60701886,2014-05-26T19:02:22.947Z,"26km E of Honaunau-Napoopoo, Hawaii",earthquake
2014-05-26T18:43:14.100Z,38.816,-122.8123,3.1,0.4,Md,8,126,0.00898315,0.02,nc,nc72227531,2014-05-26T20:25:08.974Z,"6km NW of The Geysers, California",earthquake
2014-05-26T18:34:55.000Z,62.6852,-150.5941,66.4,1.1,ml,,,,1.83,ak,ak11273684,2014-05-26T18:55:23.423Z,"47km NNW of Talkeetna, Alaska",earthquake
2014-05-26T18:30:29.000Z,61.7026,-149.574,31.3,1.1,ml,,,,0.38,ak,ak11273682,2014-05-26T18:55:22.262Z,"8km N of Meadow Lakes, Alaska",earthquake
2014-05-26T18:20:23.700Z,44.6145,-122.7855,16.6,1,Md,,154.8,0.09881468,0.06,uw,uw60784647,2014-05-27T03:15:01.353Z,"12km NE of Lebanon, Oregon",earthquake
2014-05-26T18:07:01.950Z,35.4861667,-118.308,7.04,1.21,ml,15,117,0.1458,0.14,ci,ci15505689,2014-05-26T18:10:49.550Z,"19km S of Weldon, California",earthquake
2014-05-26T17:35:19.000Z,34.1837,-117.6288,5,1.1,Ml,17,108,0.06288207,0.15,ci,ci15505681,2014-05-26T17:37:50.861Z,"4km NE of San Antonio Heights, California",earthquake
2014-05-26T17:23:30.060Z,34.1895,-117.6173333,2.67,1.63,ml,46,29,0.05989,0.36,ci,ci15505665,2014-05-26T17:34:51.320Z,"5km NE of San Antonio Heights, California",earthquake
2014-05-26T17:17:33.200Z,46.3002,-123.2697,23.8,1.5,Md,,50.4,0.17966306,0.18,uw,uw60784612,2014-05-27T04:18:06.463Z,"13km NE of Cathlamet, Washington",earthquake
2014-05-26T17:16:43.350Z,35.4825,-118.3105,4.22,1.05,ml,12,116,0.149,0.17,ci,ci15505657,2014-05-26T17:20:40.710Z,"20km S of Weldon, California",earthquake
2014-05-26T17:16:06.600Z,19.3877,-155.275,2.9,2.1,ml,,53.9999956800003,0.008983153,0.2,hv,hv60701806,2014-05-26T17:21:52.000Z,"6km SW of Volcano, Hawaii",earthquake
2014-05-26T17:08:42.000Z,63.359,-151.4244,2.3,1,ml,,,,0.6,ak,ak11273651,2014-05-26T17:18:29.827Z,"123km W of Cantwell, Alaska",earthquake
2014-05-26T17:07:49.900Z,18.524,-68.9227,116,3.3,Md,9,342,0.51383634,0.33,pr,pr14146013,2014-05-27T01:11:42.545Z,"9km SE of Guaymate, Dominican Republic",earthquake
2014-05-26T16:47:23.000Z,62.9372,-148.6423,8.4,0,ml,,,,0.26,ak,ak11273650,2014-05-26T21:00:10.209Z,"52km SSE of Cantwell, Alaska",earthquake
2014-05-26T16:44:47.320Z,35.4915,-118.2948333,5.09,1.09,ml,14,101,0.1338,0.2,ci,ci15505649,2014-05-26T16:48:34.100Z,"19km S of Weldon, California",earthquake
2014-05-26T16:34:30.000Z,63.4512,-147.5432,0.5,1.2,ml,,,,0.63,ak,ak11273646,2014-05-26T16:54:41.676Z,"70km E of Cantwell, Alaska",earthquake
2014-05-26T16:33:27.000Z,63.2859,-151.141,15.4,0.8,ml,,,,0.09,ak,ak11273645,2014-05-26T16:54:44.128Z,"110km W of Cantwell, Alaska",earthquake
2014-05-26T16:28:29.000Z,63.2484,-151.1013,0.2,1.7,ml,,,,0.68,ak,ak11273640,2014-05-26T16:54:42.841Z,"108km W of Cantwell, Alaska",earthquake
2014-05-26T16:05:50.200Z,18.0037,-66.9848,14,2,Md,6,133.2,0.06557702,0.09,pr,pr14146012,2014-05-26T16:20:24.893Z,"6km SW of Liborio Negron Torres, Puerto Rico",earthquake
2014-05-26T16:01:56.200Z,38.8083,-122.7938,2,0.5,Md,11,82.8,0,0.01,nc,nc72227511,2014-05-26T16:22:02.962Z,"4km NW of The Geysers, California",earthquake
