"","DyadType","FG1","FG2","FG3","FG4","FG5","FG6","BG1","BG2","BG3","BG4","BG5","C1","C2","C3","C4","C5","R1","R2","R3","R4","R5","CT1","CT2","CT3","CT4","CT5","CT6","S1","S2","S3","S4","S5","MODEL1","MODEL2","MODEL3","MODEL4","TRAIN1","TRAIN2","TRAIN4","GENDER","P_FG1","P_FG2","P_FG3","P_FG4","P_FG5","P_FG6","P_BG1","P_BG2","P_BG3","P_BG4","P_BG5","P_C1","P_C2","P_C3","P_C4","P_C5","P_R1","P_R2","P_R3","P_R4","P_R5","P_CT1","P_CT2","P_CT3","P_CT4","P_CT5","P_CT6","P_S1","P_S2","P_S3","P_S4","P_S5","GENDER2","child","parent","trainin"
"17","ms",1,1,1,1,1,1,3,4,2,2,6,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,5,2,2,5,3,1,1,1,1,1,1,1,1,1,1,1,3,3,1,1,2,2,2,4,1,1,1,1,1,4,2,4,2,4,1,1,1,1,1,1,7,3,3,7,4,2,1.875,1.65625,2.71428571428571
"19","ms",7,7,6,6,6,5,4,3,4,5,4,2,1,5,5,2,7,6,4,3,7,3,3,1,4,4,2,6,6,6,6,5,1,2,1,1,1,1,1,1,7,7,6,7,6,7,6,5,5,6,4,5,3,5,5,4,6,6,5,6,7,3,3,3,4,4,2,5,5,6,6,5,2,4.53125,4.34375,5.14285714285714
"21","fs",4,2,2,5,4,4,5,4,4,5,4,4,1,2,2,3,7,5,4,4,3,1,3,4,1,1,4,4,2,4,4,4,2,2,1,4,1,1,1,1,2,2,3,3,3,3,3,3,3,3,5,2,1,3,2,2,7,5,4,4,4,1,1,1,1,1,6,3,3,3,3,3,1,3.4375,2.5625,3.14285714285714
"22","md",5,3,2,2,3,2,3,3,3,4,5,4,3,3,2,2,6,4,3,3,4,3,2,2,4,3,3,3,2,4,3,3,5,3,3,3,4,4,4,2,5,5,4,5,5,4,6,6,6,6,5,7,5,5,4,4,6,5,5,4,4,4,3,1,1,2,2,6,5,5,5,4,2,3.15625,4.3125,5.42857142857143
"23","md",4,4,2,3,4,2,4,4,4,4,3,4,1,2,2,2,5,4,4,3,5,1,2,2,2,2,1,4,5,4,4,5,2,2,2,2,2,2,2,2,6,6,5,5,5,5,6,6,6,6,5,1,1,4,2,3,7,4,4,3,4,1,2,1,1,1,1,5,5,5,5,5,2,3.1875,3.53125,4.71428571428571
"24","md",7,7,3,4,6,3,5,5,2,5,4,6,2,6,5,5,6,5,3,5,6,1,1,1,1,1,1,5,1,2,2,2,4,4,4,5,5,5,4,2,7,4,5,4,7,6,5,5,5,6,2,7,7,7,5,4,7,4,2,4,2,4,3,1,1,1,1,7,3,4,5,4,2,3.6875,4.46875,4.42857142857143
"25","md",5,5,4,3,3,3,6,6,3,6,4,3,1,5,4,4,6,5,5,4,6,3,3,3,3,4,4,7,5,6,5,6,4,6,5,5,4,5,5,2,6,6,5,5,4,4,6,6,5,6,3,5,4,5,5,5,6,6,5,5,6,5,5,5,4,4,4,7,6,6,6,6,2,4.375,4.96875,5.28571428571429
"26","md",7,6,4,3,7,5,6,6,5,7,6,7,5,7,5,5,7,3,3,6,6,2,3,2,2,2,2,6,3,3,4,3,7,7,5,7,4,6,4,2,6,5,4,4,6,5,6,5,6,6,7,6,7,7,7,7,7,5,6,6,7,4,4,1,1,7,7,7,4,4,4,4,2,4.625,5.3125,5.28571428571429
"27","md",4,4,2,1,4,1,3,5,2,4,5,1,1,1,1,1,6,4,2,2,3,2,2,2,2,2,6,6,3,4,3,3,1,1,1,1,1,1,1,2,4,4,2,2,5,2,2,2,2,2,6,2,2,2,2,2,4,5,2,2,2,1,1,1,1,1,1,5,2,4,2,3,2,2.875,2.1875,3
"28","md",6,6,4,4,5,4,5,5,4,5,6,4,1,3,2,3,6,5,4,4,5,3,3,2,1,5,6,5,3,4,5,4,5,2,2,3,5,5,3,2,5,4,5,3,4,4,5,5,4,4,5,5,2,5,4,4,5,4,4,4,5,1,2,1,1,1,3,5,4,3,3,3,2,4.125,3.65625,4
